"symbol","haploinsufficiency","triplosensitivity","online_report","date"
"A4GALT","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=A4GALT&subject=","2017-05-31"
"AAGAB","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AAGAB&subject=","2019-08-22"
"AARS","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AARS&subject=","2018-01-11"
"AARS2","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AARS2&subject=","2017-05-31"
"AASS","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AASS&subject=","2018-10-16"
"ABAT","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABAT&subject=","2017-05-31"
"ABCC8","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABCC8&subject=","2017-12-06"
"ABCD1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABCD1&subject=","2019-08-22"
"ABCG5","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABCG5&subject=","2018-10-16"
"ABCG8","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABCG8&subject=","2018-10-25"
"ABHD12","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABHD12&subject=","2018-02-09"
"ABR","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABR&subject=","2017-05-31"
"ACAD8","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACAD8&subject=","2017-05-31"
"ACADM","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACADM&subject=","2018-10-16"
"ACADSB","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACADSB&subject=","2017-05-31"
"ACADVL","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACADVL&subject=","2018-10-17"
"ACOX1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACOX1&subject=","2017-06-01"
"ACP5","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACP5&subject=","2018-10-22"
"ACSF3","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACSF3&subject=","2018-10-19"
"ACSL4","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACSL4&subject=","2019-08-22"
"ACTA2","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACTA2&subject=","2017-05-31"
"ACTB","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACTB&subject=","2017-05-31"
"ACTC1","Minimal Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACTC1&subject=","2017-06-01"
"ACVRL1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACVRL1&subject=","2019-08-22"
"ADA2","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADA2&subject=","2018-10-18"
"ADAM9","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADAM9&subject=","2017-05-31"
"ADAMTS13","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADAMTS13&subject=","2018-10-18"
"ADAMTS17","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADAMTS17&subject=","2018-11-12"
"ADAMTS18","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADAMTS18&subject=","2018-10-25"
"ADAMTS2","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADAMTS2&subject=","2018-11-12"
"ADAMTSL2","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADAMTSL2&subject=","2018-10-25"
"ADGRG1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADGRG1&subject=","2017-05-31"
