"phenotype","symbol"
"[Fetal hemoglobin QTL5] (2)","HBFQTL5"
"Schizencephaly, 269160 (3)","BSVD"
"FG syndrome 3 (2)","FGS3"
"Holoprosencephaly 8 (2)","HPE8"
"Cone-rod dystrophy 12, 612657 (3)","RP41"
"Hemophilia A, 306700 (3)","F8"
"Lymphoma, mantle cell, somatic (3)","ATA"
"Albinism-deafness syndrome (2)","ADFN"
"Myopia-1 (2)","MYP1"
"Opsismodysplasia, 258480 (3)","OPSMD"
"Immunodeficiency 8, 615401 (3)","TACO"
"Huriez syndrome (2)","TYS"
"Myopia 7 (2)","MYP7"
"Deafness, X-linked 4, 300066 (3)","SMPX"
"Cataract 44, 616509 (3)","OSC"
"{Parkinson disease 3} (2)","PARK3"
"MASA syndrome, 303350 (3)","CAML1"
"[Longevity 1] (2)","LGV1"
"?Immunodeficiency 53, 617585 (3)","RELB"
"Au-Kline syndrome, 616580 (3)","AUKS"
"PCWH syndrome, 609136 (3)","SOX10"
"Blau syndrome, 186580 (3)","YAOS"
"Epidermodysplasia verruciformis, 226400 (3)","TMC8"
"Hyperekplexia 4, 618011 (3)","ATAD1"
"Vohwinkel syndrome, 124500 (3)","DFNA3A"
"Paragangliomas 5, 614165 (3)","SDHA"
"Macular dystrophy, vitelliform, 5, 616152 (3)","RP56"
"Danon disease, 300257 (3)","LAMPB"
"Dystonia 9, 601042 (3)","GLUT1DS"
"FG syndrome 4, 300422 (3)","FGS4"
"Congenital disorder of glycosylation, type Im, 610768 (3)","DOLK"
"Atrial septal defect 2, 607941 (3)","VSD1"
"Meckel syndrome 7, 267010 (3)","NPH3"
"Gallbladder disease 1, 600803 (3)","PGY3"
"Colorblindness, protan, 303900 (3)","CBP"
"Danon disease, 300257 (3)","LAMP2"
"Bazex syndrome (2)","BZX"
"Corneal dystrophy, Fuchs endothelial, 3, 613267 (3)","TCF4"
"Spastic paraplegia 42, autosomal dominant, 612539 (3)","AT1"
"{Stature QTL 24} (2)","STQTL24"
"PEHO syndrome, 260565 (3)","ZNHIT3"
"?Immunodeficiency 25, 610163 (3)","CD247"
"Amyotrophic lateral sclerosis 19, 615515 (3)","ERBB4"
"Cataract 36, 613887 (3)","CATC4"
"Spinocerebellar ataxia, autosomal recessive 23, 616949 (3)","TTRAP"
"Short QT syndrome 3, 609622 (3)","LQT7"
"Huntington disease, 143100 (3)","HTT"
"Mental retardation, X-linked 19, 300844 (3)","RPS6KA3"
"?FG syndrome 2, 300321 (3)","FLN1"
"Cohen-Gibson syndrome, 617561 (3)","EED"
"Hypoplastic or aplastic tibia with polydactyly, 188740 (3)","PPD2"
"3-M syndrome 2, 612921 (3)","3M2"
"MIRAGE syndrome, 617053 (3)","MIRAGE"
"Leigh syndrome, 256000 (3)","SDH1"
"Nonaka myopathy, 605820 (3)","NM"
"Watson syndrome, 193520 (3)","NF1"
"CR1 deficiency (1)","C3BR"
"Choroideremia, 303100 (3)","CHM"
"IMAGE syndrome, 614732 (3)","KIP2"
"Gaucher disease, type I, 230800 (3)","GBA"
"[Premature chromatid separation trait], 176430 (3)","BUB1B"
"Angio serpiginosum (2)","AGSPX"
"Schizencephaly, 269160 (3)","SHH"
"Vertical talus, congenital, 192950 (3)","HOXD10"
"C4a deficiency, 614380 (3)","C4S"
"Cowchock syndrome, 310490 (3)","AIFM1"
"Fanconi anemia, complementation group D1, 605724 (3)","GLM3"
"Alopecia universalis, 203655 (3)","HR"
"SED, Maroteaux type, 184095 (3)","VROAC"
"[Blood group, Wright], 112050 (3)","EPB3"
"Myopia 9 (2)","MYP9"
"Leukemia, acute myeloid, 601626 (3)","LPP"
"Chilblain lupus, 610448 (3)","HERNS"
"3-M syndrome 3, 614205 (3)","CCDC8"
"SADDAN, 616482 (3)","ACH"
"Agenesis of the corpus callosum with peripheral neuropathy, 218000 (3)","KCC3A"
"Myopia 11 (2)","MYP11"
"ADULT syndrome, 103285 (3)","OFC8"
"Orofacial cleft-2 (2)","OFC2"
"?Winchester syndrome, 277950 (3)","WNCHRS"
"Dias-Logan syndrome, 617101 (3)","BCL11A"
"Glutaric acidemia IIC, 231680 (3)","ETFDH"
"Bardet-Biedl syndrome 6, 605231 (3)","KMS"
"Dent disease, 300009 (3)","NPHL2"
"Even-plus syndrome, 616854 (3)","EVPLS"
"{Osteoporosis}, 166710 (2)","BMND8"
"Hypophosphatasia, adult, 146300 (3)","HOPS"
"{Autism susceptibility 4} (2)","AUTS4"
"CLOVE syndrome, somatic, 612918 (3)","MCM"
"Pyropoikilocytosis, 266140 (3)","SPTA1"
"Palmoplantar carcinoma, multiple self-healing, 615225 (3)","NALP1"
"Diarrhea 6, 614616 (3)","DIAR6"
"Panic disorder 3 (2)","PAND3"
"ABCD syndrome, 600501 (3)","EDNRB"
"Rapp-Hodgkin syndrome, 129400 (3)","SHFM4"
"Blood group--Lutheran inhibitor, 111150 (3)","INLU"
"Vascular malformation, primary intraosseous, 606893 (3)","CED12"
"Ectopia lentis, familial, 129600 (3)","MFS1"
"Thrombocytopenia 4, 612004 (3)","CYC"
"ABCD syndrome, 600501 (3)","HSCR2"
"Klippel-Trenaunay-Weber syndrome (2)","KTS"
"Cholestasis, intrahepatic, of pregnancy, 3, 614972 (3)","ICP3"
"Left ventricular noncompaction 4, 613424 (3)","ACTC1"
"Leydig cell hypoplasia with hypergonadotropic hypogonadism, 238320 (3)","LHCGR"
"Lung cancer, somatic, 211980 (3)","COT"
"Keratoconus 4 (2)","KTCN4"
"Neutropenia, severe congenital, 7, autosomal recessive, 617014 (3)","GCSFR"
"[Low density lipoprotein cholesterol level QTL 8], 618079 (3)","LIMA1"
"{Scoliosis, isolated, susceptibility to, 3} (2)","IS3"
"Leukoencephalopathy with vanishing white matter, 603896 (3)","EIF2B2"
"Mental retardation, autosomal dominant 9, 614255 (3)","MRD9"
"{Kala-azar, susceptibility to, 1} (2)","KAZA1"
"?Spastic paraplegia 74, autosomal recessive, 616451 (3)","SPG74"
"?Spermatogenic failure 13, 615841 (3)","SPGF13"
"{Orofacial cleft 6}, 608864 (3)","PPS1"
"Keratoconus 8 (2)","KTCN8"
"{Coronary artery disease, modifier of} (3)","MCAF"
"Meckel syndrome 7, 267010 (3)","NPHP3"
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 2, 613150 (3)","MDDGA2"
"Mental retardation, X-linked, syndromic, Hedera type, 300423 (3)","ATP6M8-9"
"?Orofaciodigital syndrome XVII, 617926 (3)","PDZK6"
"Reducing body myopathy, X-linked 1a, severe, infantile or early childhood onset, 300717 (3)","RBMX1A"
"{Leprosy, susceptibility to, 5}, 613223 (3)","TIL. LPRS5"
"Megaloblastic anemia-1, Finnish type, 261100 (3)","IFCR"
"?Townes-Brocks syndrome 2, 617466 (3)","FRODO"
"Neurodevelopmental disorder with severe motor impairment and absent language, 617804 (3)","KIAA0890"
"Zinc deficiency, transient neonatal, 608118 (3)","SLC30A2"
"Encephalitis/encephalopathy, mild, with reversible myelin vacuolization, 618113 (3)","MMERV"
"Nystagmus 1, congenital, X-linked, 310700 (3)","XIPAN"
"Woolly hair, autosomal recessive 1, with or without hypotrichosis, 278150 (3)","P2Y5"
"[Placental lactogen deficiency] (1)","PL"
"Pseudohypoaldosteronism type I, autosomal dominant, 177735 (3)","NR3C2"
"Obesity, mild, early-onset, 601665 (3)","NR0B2"
"?Anencephaly, 206500 (3)","RBCC728"
"Biotinidase deficiency, 253260 (3)","BTD"
"?Ovarian dysgenesis 6, 618078 (3)","NPHS11"
"Immunodeficiency 31C, autosomal dominant, 614162 (3)","IMD31A"
"?Mental retardation, autosomal recessive, 52, 616887 (3)","LMAN2L"
"{Stature QTL 2} (2)","STQTL2"
"Severe combined immunodeficiency, T cell-negative, B-cell/natural killer-cell positive, 608971 (3)","CD45"
"Geleophysic dysplasia 3, 617809 (3)","LTBP3"
"Immunodeficiency 35, 611521 (3)","TYK2"
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13, 615287 (3)","B4GAT1"
"Androgen insensitivity, 300068 (3)","SBMA"
"{AIDS, slow progression to}, 609423 (3)","CXCR1"
"?Uruguay faciocardiomusculoskeletal syndrome, 300280 (3)","RBMX1B"
"Joubert syndrome 4, 609583 (3)","JBTS4"
"{Dengue fever, protection against}, 614371 (3)","CD209"
"[Blood group GIL], 607457 (3)","AQP3"
"?Charcot-Marie-Tooth disease, type 2B2, 605589 (3)","PTOV2"
"Orofacial cleft 9 (2)","OFC9"
"Immunodeficiency 9, 612782 (3)","IMD9"
"Lymphedema-distichiasis syndrome with renal disease and diabetes mellitus, 153400 (3)","FOXC2"
"Hypothyroidism, congenital, nongoitrous, 3 (2)","RTSH"
"Myelogenous leukemia, acute (3)","MAR"
"Nevus, epidermal, somatic, 162900 (3)","CLAPO"
"Epidermolysis bullosa simplex with pyloric atresia, 612138 (3)","EBSOG"
"Vertical talus, congenital, 192950 (3)","HOX4D"
"Myopathy, myosin storage, autosomal recessive, 255160 (3)","SPMM"
"Deafness, autosomal dominant 8/12, 601543 (3)","DFNA12"
"Short-rib thoracic dysplasia 19 with or without polydactyly, 617895 (3)","DV1"
"Spinocerebellar ataxia 38, 615957 (3)","SCA38"
"{Migraine, susceptibility to}, 157300 (3)","ESR1"
"Hypermethioninemia, persistent, autosomal dominant, due to methionine adenosyltransferase I/III deficiency, 250850 (3)","MATA1"
"Renal tubular acidosis, distal, AD, 179800 (3)","EPB3"
"Usher syndrome, type 2C, 605472 (3)","VLGR1"
"Al-Raqad syndrome, 616459 (3)","DCPS"
"Liebenberg syndrome, 186550 (4)","PITX1"
"Glomerulopathy with fibronectin deposits 2, 601894 (3)","FNZ"
"Dent disease 2, 300555 (3)","OCRL1"
"Maturity-onset diabetes of the young, type VIII, 609812 (3)","BSSL"
"Miyoshi muscular dystrophy 1, 254130 (3)","DYSF"
"Spastic paraplegia 28, autosomal recessive, 609340 (3)","PAPLA1"
"Choreoathetosis, hypothyroidism, and neonatal respiratory distress, 610978 (3)","TTF1"
"HELIX syndrome, 617671 (3)","CPETRL3"
"{Inflammatory bowel disease 13}, 612244 (3)","IBD13"
"Apert syndrome, 101200 (3)","JWS"
"{Leukemia, chronic lymphocytic, susceptibility to, 2} (2)","D13S25"
"Retinitis pigmentosa 80, 617781 (3)","RP80"
"Erythrocytosis, familial, 3, 609820 (3)","ECYT3"
"[Skin/hair/eye pigmentation 9, brown/nonbrown eyes], 611742 (3)","AGTIL"
"Aland Island eye disease, 300600 (3)","OA2"
"Spinal muscular atrophy with congenital bone fractures 1, 616866 (3)","ASC1"
"Intestinal pseudoobstruction, neuronal, 300048 (3)","NHBP"
"Erythrocytosis, familial, 3, 609820 (3)","HIFPH2"
"Hyperchlorhidrosis, isolated, 143860 (3)","CA12"
"Congenital heart defects, multiple types, 6, 613854 (3)","RAI"
"Seizures, benign familial infantile, 3, 607745 (3)","SCN2A1"
"{Melioidosis, susceptibility to}, 615557 (3)","MELIOS"
"Neurodevelopmental disorder with hypotonia, seizures, and absent language, 617268 (3)","NDHSAL"
"Palmoplantar keratoderma with congenital alopecia, 104100 (3)","HLHS1"
"{Asthma susceptibility 5}, 611064 (3)","IRAK3"
"Cataract 37, autosomal dominant (2)","CCA5"
"Corneal dystrophy, Fuchs endothelial, 5 (2)","FCD3"
"Charcot-Marie-Tooth disease, axonal, type 2H (2)","CMT2H"
"[Beta-glycopyranoside tasting], 617956 (3) {Alcohol dependence, susceptibility to}, 103780 (3)","BGLPT"
"?Congenital heart defects, hamartomas of tongue, and polysyndactyly, 217085 (3)","BBS15"
